,id,team
0,Y2lzY29zcGFyazovL3VzL1RFQU0vNDc3YzgyNjAtNzZlNS0xMWU3LWE4MGQtMTU4ZmFiNDkyN2Jh,ASE Americas
1,Y2lzY29zcGFyazovL3VzL1RFQU0vM2FhYTU4MDAtNzZlNS0xMWU3LWEzZmUtOGI2YjU5YTc4YTA2,ASE SJC
2,Y2lzY29zcGFyazovL3VzL1RFQU0vMmRhNDlhODAtNzZlNS0xMWU3LTkzNzYtM2RjZDUxZjEwOTQx,ASR SNG
3,Y2lzY29zcGFyazovL3VzL1RFQU0vM2MzOGU3NDAtNzZlNS0xMWU3LWIzYWYtMzFlN2FlMWJkZTcz,ASE EMEAR
4,Y2lzY29zcGFyazovL3VzL1RFQU0vMjljZjlkYjAtNzZlNS0xMWU3LWI4Y2YtZjUyNjMyZTQwYWEx,ASR AMS I
5,Y2lzY29zcGFyazovL3VzL1RFQU0vMjdlZjkzMTAtNzZlNS0xMWU3LWIzYWYtMzFlN2FlMWJkZTcz,ASR AMS
6,Y2lzY29zcGFyazovL3VzL1RFQU0vMmMyYTU2OTAtNzZlNS0xMWU3LWE2M2QtYmYzNTA2ZTBlOTEx,ASR AMS II
7,Y2lzY29zcGFyazovL3VzL1RFQU0vMjI0ODk1NjAtNzZlNS0xMWU3LThkODEtNTFjNDI5ZmFkMWMz,ASR RTP
8,Y2lzY29zcGFyazovL3VzL1RFQU0vNDJiN2NlNjAtNzZlNS0xMWU3LTlkOTMtYWYzYTUzMjM1ZDli,ASE SNG
9,Y2lzY29zcGFyazovL3VzL1RFQU0vMzUyNWQ2NzAtNzZlNS0xMWU3LWFhYTEtNmQ3ZjM4YmYwNGFi,ASR EMEAR II
10,Y2lzY29zcGFyazovL3VzL1RFQU0vNDkwZDBkNzAtNzZlNS0xMWU3LWIzYWYtMzFlN2FlMWJkZTcz,ASE EMEAR II
11,Y2lzY29zcGFyazovL3VzL1RFQU0vNDEzNjM3NzAtNzZlNS0xMWU3LWIzMzAtMzdjMzdkMWUxYTgy,ASE AMS II
12,Y2lzY29zcGFyazovL3VzL1RFQU0vM2Y1NzE3MzAtNzZlNS0xMWU3LWIzYWYtMzFlN2FlMWJkZTcz,ASE AMS I
13,Y2lzY29zcGFyazovL3VzL1RFQU0vMzIyYzQ1ODAtNzZlNS0xMWU3LWEzZmUtOGI2YjU5YTc4YTA2,ASR Americas
14,Y2lzY29zcGFyazovL3VzL1RFQU0vNGFkYzRmMzAtNzZlNS0xMWU3LTg4OTItOTFiYjUwYTdmMThh,ASE APJC
15,Y2lzY29zcGFyazovL3VzL1RFQU0vMzY5NzE5YjAtNzZlNS0xMWU3LWI4Y2YtZjUyNjMyZTQwYWEx,ASR APJC
16,Y2lzY29zcGFyazovL3VzL1RFQU0vMjY4NTdiYzAtNzZlNS0xMWU3LWE0NjctYjc3ZjRiNzRjNDc4,ASR EMEAR
17,Y2lzY29zcGFyazovL3VzL1RFQU0vM2UwMmQxZDAtNzZlNS0xMWU3LWFjMGYtYTNjNzQzNWNiMmJk,ASE AMS
18,Y2lzY29zcGFyazovL3VzL1RFQU0vMzgxN2VkNTAtNzZlNS0xMWU3LWFjMGYtYTNjNzQzNWNiMmJk,ASE RTP
19,Y2lzY29zcGFyazovL3VzL1RFQU0vMjRkM2Q0MjAtNzZlNS0xMWU3LTkzNzYtM2RjZDUxZjEwOTQx,ASR SJC
20,Y2lzY29zcGFyazovL3VzL1RFQU0vMTRhZWM1OTAtNzYzMi0xMWU3LWEyZDktYzcwOGNlZTdlOTgw,Team 1
21,Y2lzY29zcGFyazovL3VzL1RFQU0vMTY4ZmJhOTAtNzYzMi0xMWU3LTk4ZDUtMDVlOWU0MmUwOGUw,Team 2
22,Y2lzY29zcGFyazovL3VzL1RFQU0vMTgxOWRkMDAtNzYzMi0xMWU3LTgzNTUtZmQwMzIxMTU0ZmEy,Team 3
23,Y2lzY29zcGFyazovL3VzL1RFQU0vMWE1Y2M4MjAtNzYzMi0xMWU3LWJlYTItYWY1YTg5MTU4YmQw,Team 4
24,Y2lzY29zcGFyazovL3VzL1RFQU0vMWJkYjc4ZTAtNzYzMi0xMWU3LThiN2ItMGQ1YWExNDA1NjNm,Team 5
25,Y2lzY29zcGFyazovL3VzL1RFQU0vMWU0ZDYzNDAtNzYzMi0xMWU3LTlkMTktYmQyOTI1ODY1YTE1,Team 6
26,Y2lzY29zcGFyazovL3VzL1RFQU0vMjAwODU5YjAtNzYzMi0xMWU3LThiN2ItMGQ1YWExNDA1NjNm,Team 7
27,Y2lzY29zcGFyazovL3VzL1RFQU0vMjE1YWNhNTAtNzYzMi0xMWU3LWJlYTItYWY1YTg5MTU4YmQw,Team 8
28,Y2lzY29zcGFyazovL3VzL1RFQU0vMjJiMWNlZDAtNzYzMi0xMWU3LThiN2ItMGQ1YWExNDA1NjNm,Team 9
29,Y2lzY29zcGFyazovL3VzL1RFQU0vMjQxYTg2OTAtNzYzMi0xMWU3LTlkMTktYmQyOTI1ODY1YTE1,Team 10
30,Y2lzY29zcGFyazovL3VzL1RFQU0vMjU3YzYwODAtNzYzMi0xMWU3LWFmMzItYTNlNDcyNTE5MDc5,Team 11
